,bookId,status,tags,score,scorerCount,title,author,cover,countWord,updateAt,caseId
19,174155,0,"['都市', '都市生活']",5.6,29,今天你立Flag了吗,后来者,351100,https://qidian.qpic.cn/qdbimg/349573/1016239654/300,2021-01-06T16:00:00.000Z,0
0,239041,1,"['穿越时空', '甜文', '西幻', '校园', '原创-言情-架空历史-奇幻']",6.8,34,有趣的灵魂一千多集,翡,457529,http://i0-static.jjwxc.net/tmp/backend/authorspace/s1/2/1065/106430/20200829221625_200_280.jpg,2020-12-25T13:55:44.000Z,0
1,234879,0,"['宅文', '免费同人']",6.3,36,超贫穷战士路明非,赤酱,443854,https://c1.kuangxiangit.com/uploads/allimg/c190425/25-04-19221318-39721.jpg,2020-09-26T13:38:43.000Z,0
2,237252,0,"['宅文', '都市青春']",4.7,45,投篮之鬼,接口卡,134845,https://c1.kuangxiangit.com/uploads/defaultimg/c200827/27-08-20151822-23563.jpg,2020-09-28T05:20:30.000Z,0
3,249276,0,"['灵异神怪', '爽文', '西幻', '都市异闻', '原创-无CP-幻想未来-剧情']",5.2,32,我成为古神之后,小生不知,456736,https://wx2.sinaimg.cn/mw690/005vab7lly1gkld21t9dij30go0naaap.jpg,2021-03-01T17:42:46.000Z,0
4,161527,0,"['穿越时空', '女扮男装', '朝堂之上', '原创-言情-架空历史-爱情']",6.9,24,吾友皆大佬,桉柏,343217,https://i.loli.net/2018/11/08/5be3ddb53bfeb.jpg,2020-11-17T15:46:24.000Z,0
5,170737,1,"['综漫', '少年漫', '异想天开', '文野', '衍生-纯爱-近代现代-其他衍生']",8.2,20,英雄失格,浮云素,979820,https://i.loli.net/2020/02/17/U2jkLcI4y9WFNxz.jpg,2020-10-26T05:20:56.000Z,0
6,247486,0,"['系统', '现代架空', '悬疑推理', '升级流', '原创-言情-近代现代-悬疑']",6.8,24,被迫成名的小说家,青青绿萝裙,602182,http://i2-static.jjwxc.net/tmp/backend/authorspace/s1/11/10716/1071525/20201121134316_200_280.jpg,2021-03-01T08:00:10.000Z,0
7,213611,0,"['奇幻', '黑暗幻想']",5.4,30,冥河漂流奇遇记,无字印章,403600,https://qidian.qpic.cn/qdbimg/349573/1019839105/300,2021-02-27T17:35:03.000Z,0
8,251370,0,"['科幻', '时空穿梭']",6.0,27,末日游戏online,冰原三雅,189899,https://qidian.qpic.cn/qdbimg/349573/1025762993/300,2021-03-01T16:04:06.000Z,0
9,171293,1,"['科幻', '时空穿梭']",4.9,33,魔法导论,两元五角,837900,https://qidian.qpic.cn/qdbimg/349573/1015442872/300,2020-12-10T16:00:00.000Z,0
10,169931,1,"['轻小说', '衍生同人']",3.3,49,美漫之根源者,尘瑀,730500,https://qidian.qpic.cn/qdbimg/349573/1015164450/300,2020-11-25T16:00:00.000Z,0
11,177200,0,"['武侠', '灵异神怪', '快穿', '爽文', '衍生-无CP-架空历史-东方衍生']",6.2,26,真欧皇以貌服人[综武侠],一只白白,751024,http://i2-static.jjwxc.net/tmp/backend/authorspace/s1/15/14812/1481155/20190611134445_200_280.jpg,2021-02-26T01:29:20.000Z,0
12,32842,0,"['穿越时空', '仙侠修真', '原创-言情-架空历史-仙侠']",6.7,24,寒门神隐,月下金狐,285472,http://i9-static.jjwxc.net/novelimage.php?novelid=2454698&coverid=8&ver=c2021a7efb45cfd6a01e9e315f2fbfcd,2020-12-08T04:18:46.000Z,0
